timestamp,product_id,category,base_price,cost_price,current_price,competitor_price,inventory_level,views_last_hour,add_to_cart_count,hour,day_of_week,month,is_weekend,rating,num_reviews,conversion_rate,demand
2025-01-01 00:00:00,P00362,Sports,514.24,234.37,434.97,590.01,20,42,6,0,2,1,0,3.24,1611,0.0714,3
2025-01-01 12:00:00,P00362,Sports,514.24,234.37,579.31,514.47,11,45,10,12,2,1,0,3.24,1611,0.0444,2
2025-01-02 00:00:00,P00362,Sports,514.24,234.37,510.63,499.11,128,54,7,0,3,1,0,3.24,1611,0.1852,10
2025-01-02 12:00:00,P00362,Sports,514.24,234.37,540.34,456.95,103,54,8,12,3,1,0,3.24,1611,0.1667,9
2025-01-03 00:00:00,P00362,Sports,514.24,234.37,393.44,523.01,124,48,11,0,4,1,0,3.24,1611,0.3542,17
2025-01-03 12:00:00,P00362,Sports,514.24,234.37,548.31,577.52,181,42,7,12,4,1,0,3.24,1611,0.2381,10
2025-01-04 00:00:00,P00362,Sports,514.24,234.37,388.78,509.95,108,45,8,0,5,1,1,3.24,1611,0.3778,17
2025-01-04 12:00:00,P00362,Sports,514.24,234.37,578.18,451.55,16,52,7,12,5,1,1,3.24,1611,0.0385,2
2025-01-05 00:00:00,P00362,Sports,514.24,234.37,561.58,460.18,124,47,7,0,6,1,1,3.24,1611,0.234,11
2025-01-05 12:00:00,P00362,Sports,514.24,234.37,490.67,462.32,8,57,13,12,6,1,1,3.24,1611,0.0351,2
2025-01-06 00:00:00,P00362,Sports,514.24,234.37,537.55,437.19,114,44,10,0,0,1,0,3.24,1611,0.2045,9
2025-01-06 12:00:00,P00362,Sports,514.24,234.37,479.2,454.67,24,50,9,12,0,1,0,3.24,1611,0.06,3
2025-01-07 00:00:00,P00362,Sports,514.24,234.37,518.42,574.83,27,57,10,0,1,1,0,3.24,1611,0.0526,3
2025-01-07 12:00:00,P00362,Sports,514.24,234.37,535.02,447.99,31,51,3,12,1,1,0,3.24,1611,0.0588,3
2025-01-08 00:00:00,P00362,Sports,514.24,234.37,411.13,454.86,75,47,11,0,2,1,0,3.24,1611,0.1702,8
2025-01-08 12:00:00,P00362,Sports,514.24,234.37,469.78,437.13,179,54,8,12,2,1,0,3.24,1611,0.1667,9
2025-01-09 00:00:00,P00362,Sports,514.24,234.37,416.83,450.52,172,36,4,0,3,1,0,3.24,1611,0.5278,19
2025-01-09 12:00:00,P00362,Sports,514.24,234.37,538.44,528.97,183,50,5,12,3,1,0,3.24,1611,0.26,13
2025-01-10 00:00:00,P00362,Sports,514.24,234.37,566.2,486.19,48,47,10,0,4,1,0,3.24,1611,0.0638,3
2025-01-10 12:00:00,P00362,Sports,514.24,234.37,545.35,538.37,72,49,8,12,4,1,0,3.24,1611,0.102,5
2025-01-11 00:00:00,P00362,Sports,514.24,234.37,564.59,513.74,53,53,12,0,5,1,1,3.24,1611,0.0943,5
2025-01-11 12:00:00,P00362,Sports,514.24,234.37,622.8,494.24,179,46,6,12,5,1,1,3.24,1611,0.1522,7
2025-01-12 00:00:00,P00362,Sports,514.24,234.37,600.61,548.05,46,65,3,0,6,1,1,3.24,1611,0.0462,3
2025-01-12 12:00:00,P00362,Sports,514.24,234.37,388.15,460.26,12,43,2,12,6,1,1,3.24,1611,0.1163,5
2025-01-13 00:00:00,P00362,Sports,514.24,234.37,571.76,458.03,77,64,12,0,0,1,0,3.24,1611,0.0625,4
2025-01-13 12:00:00,P00362,Sports,514.24,234.37,501.03,517.89,22,51,11,12,0,1,0,3.24,1611,0.0588,3
2025-01-14 00:00:00,P00362,Sports,514.24,234.37,432.41,492.68,23,40,7,0,1,1,0,3.24,1611,0.075,3
2025-01-14 12:00:00,P00362,Sports,514.24,234.37,509.77,546.76,117,46,10,12,1,1,0,3.24,1611,0.2391,11
2025-01-15 00:00:00,P00362,Sports,514.24,234.37,609.98,519.06,65,46,2,0,2,1,0,3.24,1611,0.1087,5
2025-01-15 12:00:00,P00362,Sports,514.24,234.37,550.63,499.75,21,55,3,12,2,1,0,3.24,1611,0.0364,2
2025-01-16 00:00:00,P00362,Sports,514.24,234.37,640.56,586.11,184,53,5,0,3,1,0,3.24,1611,0.1132,6
2025-01-16 12:00:00,P00362,Sports,514.24,234.37,446.85,568.4,176,40,2,12,3,1,0,3.24,1611,0.4,16
2025-01-17 00:00:00,P00362,Sports,514.24,234.37,602.44,563.71,132,51,11,0,4,1,0,3.24,1611,0.1373,7
2025-01-17 12:00:00,P00362,Sports,514.24,234.37,544.66,560.57,160,53,4,12,4,1,0,3.24,1611,0.2075,11
2025-01-18 00:00:00,P00362,Sports,514.24,234.37,594.2,447.5,93,52,8,0,5,1,1,3.24,1611,0.1346,7
2025-01-18 12:00:00,P00362,Sports,514.24,234.37,531.86,497.06,125,35,6,12,5,1,1,3.24,1611,0.2571,9
2025-01-19 00:00:00,P00362,Sports,514.24,234.37,399.87,472.14,168,50,10,0,6,1,1,3.24,1611,0.42,21
2025-01-19 12:00:00,P00362,Sports,514.24,234.37,533.3,491.62,49,47,3,12,6,1,1,3.24,1611,0.0638,3
2025-01-20 00:00:00,P00362,Sports,514.24,234.37,443.87,503.43,110,52,11,0,0,1,0,3.24,1611,0.1923,10
2025-01-20 12:00:00,P00362,Sports,514.24,234.37,412.84,579.21,187,55,13,12,0,1,0,3.24,1611,0.4909,27
2025-01-21 00:00:00,P00362,Sports,514.24,234.37,415.69,462.93,89,40,3,0,1,1,0,3.24,1611,0.3,12
2025-01-21 12:00:00,P00362,Sports,514.24,234.37,486.81,481.45,159,59,10,12,1,1,0,3.24,1611,0.2034,12
2025-01-22 00:00:00,P00362,Sports,514.24,234.37,607.7,468.08,21,47,6,0,2,1,0,3.24,1611,0.0426,2
2025-01-22 12:00:00,P00362,Sports,514.24,234.37,525.16,454.89,24,53,10,12,2,1,0,3.24,1611,0.0377,2
2025-01-23 00:00:00,P00362,Sports,514.24,234.37,449.56,469.3,132,59,8,0,3,1,0,3.24,1611,0.2881,17
2025-01-23 12:00:00,P00362,Sports,514.24,234.37,556.08,559.86,185,50,10,12,3,1,0,3.24,1611,0.24,12
2025-01-24 00:00:00,P00362,Sports,514.24,234.37,577.89,542.81,49,51,4,0,4,1,0,3.24,1611,0.0784,4
2025-01-24 12:00:00,P00362,Sports,514.24,234.37,549.37,561.07,34,62,7,12,4,1,0,3.24,1611,0.0484,3
2025-01-25 00:00:00,P00362,Sports,514.24,234.37,443.23,548.74,92,49,7,0,5,1,1,3.24,1611,0.2041,10
2025-01-25 12:00:00,P00362,Sports,514.24,234.37,485.59,584.17,103,59,4,12,5,1,1,3.24,1611,0.1864,11
2025-01-26 00:00:00,P00362,Sports,514.24,234.37,412.98,452.37,127,47,4,0,6,1,1,3.24,1611,0.4681,22
2025-01-26 12:00:00,P00362,Sports,514.24,234.37,615.21,458.52,46,52,3,12,6,1,1,3.24,1611,0.0385,2
2025-01-27 00:00:00,P00362,Sports,514.24,234.37,447.97,563.02,85,44,10,0,0,1,0,3.24,1611,0.3409,15
2025-01-27 12:00:00,P00362,Sports,514.24,234.37,393.39,442.42,95,60,11,12,0,1,0,3.24,1611,0.3167,19
2025-01-28 00:00:00,P00362,Sports,514.24,234.37,579.14,460.49,104,41,7,0,1,1,0,3.24,1611,0.1463,6
2025-01-28 12:00:00,P00362,Sports,514.24,234.37,488.7,586.68,37,56,5,12,1,1,0,3.24,1611,0.0893,5
2025-01-29 00:00:00,P00362,Sports,514.24,234.37,503.99,454.4,136,47,2,0,2,1,0,3.24,1611,0.2128,10
2025-01-29 12:00:00,P00362,Sports,514.24,234.37,640.66,484.84,52,44,6,12,2,1,0,3.24,1611,0.0455,2
2025-01-30 00:00:00,P00362,Sports,514.24,234.37,619.68,497.92,65,44,4,0,3,1,0,3.24,1611,0.0909,4
2025-01-30 12:00:00,P00362,Sports,514.24,234.37,466.55,525.03,45,45,7,12,3,1,0,3.24,1611,0.1556,7
2025-01-31 00:00:00,P00362,Sports,514.24,234.37,510.63,576.81,68,49,6,0,4,1,0,3.24,1611,0.1633,8
2025-01-31 12:00:00,P00362,Sports,514.24,234.37,619.34,492.9,135,63,11,12,4,1,0,3.24,1611,0.1429,9
2025-02-01 00:00:00,P00362,Sports,514.24,234.37,559.42,507.03,94,51,6,0,5,2,1,3.24,1611,0.1176,6
2025-02-01 12:00:00,P00362,Sports,514.24,234.37,465.31,563.46,181,45,8,12,5,2,1,3.24,1611,0.4444,20
2025-02-02 00:00:00,P00362,Sports,514.24,234.37,627.05,524.07,15,42,7,0,6,2,1,3.24,1611,0.0238,1
2025-02-02 12:00:00,P00362,Sports,514.24,234.37,428.13,589.41,161,46,9,12,6,2,1,3.24,1611,0.3261,15
2025-02-03 00:00:00,P00362,Sports,514.24,234.37,598.15,511.21,109,57,3,0,0,2,0,3.24,1611,0.0877,5
2025-02-03 12:00:00,P00362,Sports,514.24,234.37,439.14,545.23,92,47,10,12,0,2,0,3.24,1611,0.3191,15
2025-02-04 00:00:00,P00362,Sports,514.24,234.37,515.66,500.73,129,48,10,0,1,2,0,3.24,1611,0.1875,9
